Metric,precision,recall,f1-score,support,Model
TV,0.9743589743589743,0.95,0.9620253164556962,40.0,layers_2_opt_adam_act_relu_epochs_5.h5
Geyser,0.9166666666666666,0.8148148148148148,0.8627450980392157,27.0,layers_2_opt_adam_act_relu_epochs_5.h5
Refrigerator,0.8205128205128205,1.0,0.9014084507042254,32.0,layers_2_opt_adam_act_relu_epochs_5.h5
Washing Machine,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0,layers_2_opt_adam_act_relu_epochs_5.h5
AC,0.9230769230769231,0.75,0.8275862068965517,16.0,layers_2_opt_adam_act_relu_epochs_5.h5
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,layers_2_opt_adam_act_relu_epochs_5.h5
macro avg,0.8935897435897436,0.8696296296296296,0.8774196810858046,133.0,layers_2_opt_adam_act_relu_epochs_5.h5
weighted avg,0.900375939849624,0.8947368421052632,0.8936960905125316,133.0,layers_2_opt_adam_act_relu_epochs_5.h5
TV,0.95,0.95,0.95,40.0,layers_2_opt_adam_act_relu_epochs_10.h5
Geyser,1.0,0.8888888888888888,0.9411764705882353,27.0,layers_2_opt_adam_act_relu_epochs_10.h5
Refrigerator,0.8823529411764706,0.9375,0.9090909090909091,32.0,layers_2_opt_adam_act_relu_epochs_10.h5
Washing Machine,0.9473684210526315,1.0,0.972972972972973,18.0,layers_2_opt_adam_act_relu_epochs_10.h5
AC,1.0,1.0,1.0,16.0,layers_2_opt_adam_act_relu_epochs_10.h5
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,layers_2_opt_adam_act_relu_epochs_10.h5
macro avg,0.9559442724458205,0.9552777777777777,0.9546480705304236,133.0,layers_2_opt_adam_act_relu_epochs_10.h5
weighted avg,0.9495332759142439,0.9473684210526315,0.9474901301526688,133.0,layers_2_opt_adam_act_relu_epochs_10.h5
TV,0.975,0.975,0.975,40.0,layers_2_opt_adam_act_relu_epochs_20.h5
Geyser,0.9642857142857143,1.0,0.9818181818181818,27.0,layers_2_opt_adam_act_relu_epochs_20.h5
Refrigerator,0.96875,0.96875,0.96875,32.0,layers_2_opt_adam_act_relu_epochs_20.h5
Washing Machine,1.0,1.0,1.0,18.0,layers_2_opt_adam_act_relu_epochs_20.h5
AC,0.9333333333333333,0.875,0.9032258064516129,16.0,layers_2_opt_adam_act_relu_epochs_20.h5
accuracy,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752,layers_2_opt_adam_act_relu_epochs_20.h5
macro avg,0.9682738095238095,0.9637499999999999,0.965758797653959,133.0,layers_2_opt_adam_act_relu_epochs_20.h5
weighted avg,0.9696920873612602,0.9699248120300752,0.9696293519723059,133.0,layers_2_opt_adam_act_relu_epochs_20.h5
TV,0.7391304347826086,0.85,0.7906976744186046,40.0,layers_2_opt_adam_act_tanh_epochs_5.h5
Geyser,0.65625,0.7777777777777778,0.711864406779661,27.0,layers_2_opt_adam_act_tanh_epochs_5.h5
Refrigerator,0.7777777777777778,0.65625,0.711864406779661,32.0,layers_2_opt_adam_act_tanh_epochs_5.h5
Washing Machine,0.75,0.6666666666666666,0.7058823529411765,18.0,layers_2_opt_adam_act_tanh_epochs_5.h5
AC,0.75,0.5625,0.6428571428571429,16.0,layers_2_opt_adam_act_tanh_epochs_5.h5
accuracy,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.7293233082706767,layers_2_opt_adam_act_tanh_epochs_5.h5
macro avg,0.7346316425120774,0.7026388888888888,0.7126331967552492,133.0,layers_2_opt_adam_act_tanh_epochs_5.h5
weighted avg,0.7343823780465656,0.7293233082706767,0.7264624331984936,133.0,layers_2_opt_adam_act_tanh_epochs_5.h5
TV,0.9512195121951219,0.975,0.9629629629629629,40.0,layers_2_opt_adam_act_tanh_epochs_10.h5
Geyser,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0,layers_2_opt_adam_act_tanh_epochs_10.h5
Refrigerator,1.0,0.84375,0.9152542372881356,32.0,layers_2_opt_adam_act_tanh_epochs_10.h5
Washing Machine,0.9473684210526315,1.0,0.972972972972973,18.0,layers_2_opt_adam_act_tanh_epochs_10.h5
AC,1.0,1.0,1.0,16.0,layers_2_opt_adam_act_tanh_epochs_10.h5
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,layers_2_opt_adam_act_tanh_epochs_10.h5
macro avg,0.953050919982884,0.9563425925925927,0.9526941749956915,133.0,layers_2_opt_adam_act_tanh_epochs_10.h5
weighted avg,0.9511384365921222,0.9473684210526315,0.947005613327976,133.0,layers_2_opt_adam_act_tanh_epochs_10.h5
TV,0.9736842105263158,0.925,0.9487179487179487,40.0,layers_2_opt_adam_act_tanh_epochs_20.h5
Geyser,0.8387096774193549,0.9629629629629629,0.896551724137931,27.0,layers_2_opt_adam_act_tanh_epochs_20.h5
Refrigerator,1.0,0.8125,0.896551724137931,32.0,layers_2_opt_adam_act_tanh_epochs_20.h5
Washing Machine,0.75,1.0,0.8571428571428571,18.0,layers_2_opt_adam_act_tanh_epochs_20.h5
AC,1.0,0.875,0.9333333333333333,16.0,layers_2_opt_adam_act_tanh_epochs_20.h5
accuracy,0.9097744360902256,0.9097744360902256,0.9097744360902256,0.9097744360902256,layers_2_opt_adam_act_tanh_epochs_20.h5
macro avg,0.9124787775891342,0.9150925925925926,0.9064595174940002,133.0,layers_2_opt_adam_act_tanh_epochs_20.h5
weighted avg,0.925507742190791,0.9097744360902256,0.911332138607223,133.0,layers_2_opt_adam_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_adam_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_adam_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
